We	PRP	-	-	-	-	-	False
have	VBP	-	-	-	-	-	False
a	DT	-	-	-	-	-	False
huge	JJ	-	-	-	-	-	False
vested	JJ	-	-	-	-	-	False
interest	NN	-	-	-	-	-	False
in	IN	-	-	-	-	-	False
it	PRP	-	-	-	-	-	False
,	,	-	-	-	-	-	False
partly	RB	partly.adv	Degree	2001	-	-	False
because	IN	-	-	-	Gradable_attribute	12081	True
it	PRP	-	-	-	Gradable_attribute	12081	True
's	VBZ	-	-	-	Gradable_attribute	12081	True
education	NN	-	-	-	Gradable_attribute	12081	True
that	WDT	-	-	-	Gradable_attribute	12081	True
's	VBZ	-	-	-	Gradable_attribute	12081	True
meant	VBN	-	-	-	Gradable_attribute	12081	True
to	TO	-	-	-	Gradable_attribute	12081	True
take	VB	-	-	-	Gradable_attribute	12081	True
us	PRP	-	-	-	Gradable_attribute	12081	True
into	IN	-	-	-	Gradable_attribute	12081	True
this	DT	-	-	-	Gradable_attribute	12081	True
future	NN	-	-	-	Gradable_attribute	12081	True
that	IN	-	-	-	Gradable_attribute	12081	True
we	PRP	-	-	-	Gradable_attribute	12081	True
ca	MD	-	-	-	Gradable_attribute	12081	True
n't	RB	-	-	-	Gradable_attribute	12081	True
grasp	VB	-	-	-	Gradable_attribute	12081	True
.	.	-	-	-	-	-	False

Nos	FW	-	-	-	-	-	False
interessamos	FW	-	-	-	-	-	False
tanto	FW	-	-	-	-	-	False
por	FW	-	-	-	-	-	False
ela	FW	-	-	-	-	-	False
em	FW	em parte.adv	Degree	2001	-	-	False
parte	FW	em parte.adv	Degree	2001	-	-	False
porque	FW	-	-	-	Gradable_attribute	12081	True
é	FW	-	-	-	Gradable_attribute	12081	True
da	FW	-	-	-	Gradable_attribute	12081	True
educação	FW	-	-	-	Gradable_attribute	12081	True
o	FW	-	-	-	Gradable_attribute	12081	True
papel	FW	-	-	-	Gradable_attribute	12081	True
de	FW	-	-	-	Gradable_attribute	12081	True
nos	FW	-	-	-	Gradable_attribute	12081	True
conduzir	FW	-	-	-	Gradable_attribute	12081	True
a	FW	-	-	-	Gradable_attribute	12081	True
esse	FW	-	-	-	Gradable_attribute	12081	True
futuro	FW	-	-	-	Gradable_attribute	12081	True
misterioso	FW	-	-	-	Gradable_attribute	12081	True
.	.	-	-	-	-	-	False
