So	ADV	RB	-	-	-	False
I	PRON	PRP	-	-	-	False
want	VERB	VBP	-	-	-	False
to	PART	TO	-	-	-	False
talk	VERB	VB	-	-	-	False
about	ADP	IN	-	-	-	False
education	NOUN	NN	-	-	-	False
and	CCONJ	CC	-	-	-	False
I	PRON	PRP	-	-	Communicator	True
want	VERB	VBP	-	-	-	False
to	PART	TO	-	-	-	False
talk	VERB	VB	-	-	-	False
about	ADP	IN	about.prep	Topic	-	False
creativity	NOUN	NN	-	-	Topic	True
.	PUNCT	.	-	-	-	False

Por	NOUN	FW	-	-	-	False
isso	X	FW	-	-	-	False
eu	X	FW	-	-	-	False
quero	X	FW	-	-	-	False
falar	X	FW	-	-	-	False
sobre	X	FW	sobre.prep	Topic	-	False
educação	X	FW	-	-	Topic	True
e	X	FW	-	-	-	False
quero	X	FW	-	-	-	False
falar	X	FW	-	-	-	False
sobre	X	FW	-	-	-	False
criatividade	X	FW	-	-	-	False
.	PUNCT	.	-	-	-	False
