Like	ADP	IN	-	-	-	False
religion	NOUN	NN	-	-	-	False
,	PUNCT	,	-	-	-	False
and	CCONJ	CC	-	-	-	False
money	NOUN	NN	-	-	-	False
and	CCONJ	CC	-	-	-	False
other	ADJ	JJ	-	-	-	False
things	NOUN	NNS	thing.n	Entity	Entity	True
.	PUNCT	.	-	-	-	False

Porque	NOUN	NNP	-	-	-	False
é	NOUN	FW	-	-	-	False
uma	X	FW	-	-	-	False
dessas	X	FW	-	-	-	False
coisas	X	FW	coisa.n	Entity	-	False
arraigadas	X	FW	-	-	Type	False
nas	X	FW	-	-	Type	False
pessoas	X	FW	-	-	Type	False
,	PUNCT	,	-	-	-	False
estou	X	FW	-	-	-	False
certo	X	FW	-	-	-	False
?	PUNCT	.	-	-	-	False
Como	X	NNP	-	-	-	False
religião	X	NN	-	-	-	False
,	PUNCT	,	-	-	-	False
dinheiro	X	FW	-	-	-	False
e	X	FW	-	-	-	False
outras	X	FW	-	-	-	False
coisas	X	FW	-	-	-	False
.	PUNCT	.	-	-	-	False
