And	CC	-	-	-	-	-	False
in	IN	-	-	-	-	-	False
pretty	RB	-	-	-	-	-	False
much	RB	-	-	-	-	-	False
every	DT	-	-	-	-	-	False
system	NN	system.n	System	1610	Complex	8913	True
too	RB	-	-	-	-	-	False
,	,	-	-	-	-	-	False
there	EX	-	-	-	-	-	False
's	VBZ	-	-	-	-	-	False
a	DT	-	-	-	-	-	False
hierarchy	NN	-	-	-	-	-	False
within	IN	-	-	-	-	-	False
the	DT	-	-	-	-	-	False
arts	NNS	-	-	-	-	-	False
.	.	-	-	-	-	-	False

E	NN	-	-	-	-	-	False
praticamente	NN	-	-	-	-	-	False
em	FW	-	-	-	-	-	False
qualquer	FW	-	-	-	-	-	False
sistema	FW	sistema.n	System	1610	-	-	False
existe	FW	-	-	-	-	-	False
uma	FW	-	-	-	-	-	False
hierarquia	FW	-	-	-	-	-	False
dentre	FW	-	-	-	-	-	False
as	IN	-	-	-	Component_entities	8912	True
artes	NNS	-	-	-	Component_entities	8912	True
.	.	-	-	-	-	-	False
