And	CCONJ	CC	-	-	-	False
by	ADP	IN	-	-	-	False
the	DET	DT	-	-	-	False
time	NOUN	NN	-	-	-	False
they	PRON	PRP	-	-	-	False
get	VERB	VBP	-	-	-	False
to	PART	TO	-	-	-	False
be	VERB	VB	-	-	-	False
adults	NOUN	NNS	-	-	-	False
,	PUNCT	,	-	-	-	False
most	ADJ	JJS	-	-	Entity	True
kids	NOUN	NNS	-	-	Entity	True
have	VERB	VBP	-	-	-	False
lost	VERB	VBN	-	-	-	False
that	DET	DT	-	-	-	False
capacity	NOUN	NN	capacity.n	Capability	-	False
.	PUNCT	.	-	-	-	False

E	X	NN	-	-	-	False
quando	X	NN	-	-	-	False
chegam	X	NN	-	-	-	False
a	DET	DT	-	-	-	False
fase	ADJ	JJ	-	-	-	False
adulta	NOUN	NN	-	-	-	False
,	PUNCT	,	-	-	-	False
a	DET	DT	-	-	-	False
maioria	X	FW	-	-	-	False
das	X	FW	-	-	-	False
crianças	X	FW	-	-	-	False
perdeu	X	FW	-	-	-	False
essa	X	FW	-	-	-	False
capacidade	X	FW	capacidade.n	Capability	-	False
.	PUNCT	.	-	-	-	False
