Grown	ADJ	JJ	-	-	-	False
men	NOUN	NNS	man.n	People	Person	True
and	CCONJ	CC	-	-	-	False
women	NOUN	NNS	-	-	-	False
writhing	VERB	VBG	-	-	-	False
uncontrollably	ADV	RB	-	-	-	False
,	PUNCT	,	-	-	-	False
off	ADP	IN	-	-	-	False
the	DET	DT	-	-	-	False
beat	NOUN	NN	-	-	-	False
.	PUNCT	.	-	-	-	False

E	X	FW	-	-	-	False
lá	X	FW	-	-	-	False
você	X	FW	-	-	-	False
vai	X	FW	-	-	-	False
ver	X	FW	-	-	-	False
,	PUNCT	,	-	-	-	False
homens	X	FW	-	-	-	False
e	X	FW	-	-	-	False
mulheres	X	FW	mulher.n	People	-	False
maduros	X	FW	-	-	-	False
,	PUNCT	,	-	-	-	False
se	X	FW	-	-	-	False
contorcendo	X	FW	-	-	-	False
incontrolavelmente	X	FW	-	-	-	False
,	PUNCT	,	-	-	-	False
fora	NOUN	NN	-	-	-	False
do	VERB	VBP	-	-	-	False
ritmo	NOUN	NN	-	-	-	False
.	PUNCT	.	-	-	-	False
