So	ADV	RB	-	-	-	False
I	PRON	PRP	-	-	-	False
want	VERB	VBP	-	-	-	False
to	PART	TO	-	-	-	False
talk	VERB	VB	-	-	-	False
about	ADP	IN	-	-	-	False
education	NOUN	NN	-	-	-	False
and	CCONJ	CC	-	-	-	False
I	PRON	PRP	-	-	Speaker	True
want	VERB	VBP	-	-	-	False
to	PART	TO	-	-	-	False
talk	VERB	VB	talk.v	Statement	-	False
about	ADP	IN	-	-	Topic	True
creativity	NOUN	NN	-	-	Topic	True
.	PUNCT	.	-	-	-	False

Por	NOUN	FW	-	-	-	False
isso	X	FW	-	-	-	False
eu	X	FW	-	-	-	False
quero	X	FW	-	-	-	False
falar	X	FW	-	-	-	False
sobre	X	FW	-	-	-	False
educação	X	FW	-	-	-	False
e	X	FW	-	-	-	False
quero	X	FW	-	-	-	False
falar	X	FW	falar.v	Statement	-	False
sobre	X	FW	-	-	Topic	True
criatividade	X	FW	-	-	Topic	True
.	PUNCT	.	-	-	-	False
