If	IN	-	-	-	-	-	False
you	PRP	-	-	-	-	-	False
want	VBP	-	-	-	-	-	False
real	JJ	-	-	-	-	-	False
evidence	NN	-	-	-	-	-	False
of	IN	-	-	-	-	-	False
out-of-body	JJ	-	-	-	-	-	False
experiences	NNS	-	-	-	-	-	False
,	,	-	-	-	-	-	False
get	VB	-	-	-	-	-	False
yourself	PRP	-	-	-	-	-	False
along	RP	-	-	-	-	-	False
to	IN	-	-	-	-	-	False
a	DT	-	-	-	-	-	False
residential	JJ	-	-	-	-	-	False
conference	NN	-	-	-	-	-	False
of	IN	-	-	-	-	-	False
senior	JJ	-	-	-	-	-	False
academics	NNS	-	-	-	-	-	False
,	,	-	-	-	-	-	False
and	CC	-	-	-	-	-	False
pop	VB	-	-	-	-	-	False
into	IN	-	-	-	-	-	False
the	DT	-	-	-	-	-	False
discotheque	NN	discotheque.n	Buildings	173	Building	6037	True
on	IN	-	-	-	-	-	False
the	DT	-	-	-	-	-	False
final	JJ	-	-	-	-	-	False
night	NN	-	-	-	-	-	False
.	.	-	-	-	-	-	False

Se	FW	-	-	-	-	-	False
você	FW	-	-	-	-	-	False
quiser	FW	-	-	-	-	-	False
evidências	FW	-	-	-	-	-	False
concretas	FW	-	-	-	-	-	False
de	FW	-	-	-	-	-	False
experiências	FW	-	-	-	-	-	False
extra-corpóreas	FW	-	-	-	-	-	False
,	,	-	-	-	-	-	False
por	FW	-	-	-	-	-	False
sinal	FW	-	-	-	-	-	False
,	,	-	-	-	-	-	False
é	FW	-	-	-	-	-	False
só	FW	-	-	-	-	-	False
participar	FW	-	-	-	-	-	False
de	FW	-	-	-	-	-	False
uma	FW	-	-	-	-	-	False
conferência	FW	-	-	-	-	-	False
de	FW	-	-	-	-	-	False
acadêmicos	FW	-	-	-	-	-	False
sênior	FW	-	-	-	-	-	False
,	,	-	-	-	-	-	False
e	FW	-	-	-	-	-	False
aparecer	FW	-	-	-	-	-	False
na	FW	-	-	-	-	-	False
discoteca	FW	discoteca.n	Buildings	173	-	-	False
na	FW	-	-	-	-	-	False
noite	FW	-	-	-	-	-	False
final	JJ	-	-	-	-	-	False
.	.	-	-	-	-	-	False
