But	CC	-	-	-	-	-	False
James	NNP	-	-	-	Performer	3790	True
got	VBD	-	-	-	-	-	False
the	DT	-	-	-	-	-	False
part	NN	part.n	Performers_and_roles	413	-	-	False
of	IN	-	-	-	Role	3796	True
Joseph	NNP	-	-	-	Role	3796	True
,	,	-	-	-	-	-	False
which	WDT	-	-	-	-	-	False
we	PRP	-	-	-	-	-	False
were	VBD	-	-	-	-	-	False
thrilled	VBN	-	-	-	-	-	False
about	IN	-	-	-	-	-	False
.	.	-	-	-	-	-	False

'	''	-	-	-	-	-	False
Die	VB	-	-	-	-	-	False
Geburt	NNP	-	-	-	-	-	False
II	NNP	-	-	-	-	-	False
'	''	-	-	-	-	-	False
James	NNP	-	-	-	Performer	3790	True
spielte	NNP	spielen.v	Performers_and_roles	413	-	-	False
den	NNP	-	-	-	-	-	False
Joseph	NNP	-	-	-	Role	3796	True
,	,	-	-	-	-	-	False
worüber	FW	-	-	-	-	-	False
wir	FW	-	-	-	Audience	3787	True
begeistert	FW	-	-	-	-	-	False
waren	FW	-	-	-	-	-	False
,	,	-	-	-	-	-	False
weil	NN	-	-	-	-	-	False
wir	NN	-	-	-	-	-	False
das	FW	-	-	-	-	-	False
als	FW	-	-	-	-	-	False
eine	FW	-	-	-	-	-	False
der	FW	-	-	-	-	-	False
Hauptrollen	FW	-	-	-	-	-	False
betrachten	FW	-	-	-	-	-	False
.	.	-	-	-	-	-	False
