So	RB	-	-	-	-	-	False
I	PRP	-	-	-	-	-	False
want	VBP	-	-	-	-	-	False
to	TO	-	-	-	-	-	False
talk	VB	-	-	-	-	-	False
about	IN	-	-	-	-	-	False
education	NN	education.n	Education_teaching	111	-	-	False
and	CC	-	-	-	-	-	False
I	PRP	-	-	-	-	-	False
want	VBP	-	-	-	-	-	False
to	TO	-	-	-	-	-	False
talk	VB	-	-	-	-	-	False
about	IN	-	-	-	-	-	False
creativity	NN	-	-	-	-	-	False
.	.	-	-	-	-	-	False

Ich	NNP	-	-	-	-	-	False
möchte	NNP	-	-	-	-	-	False
also	RB	-	-	-	-	-	False
über	NN	-	-	-	-	-	False
Bildung	NNP	bildung.n	Education_teaching	111	-	-	False
und	NNP	-	-	-	-	-	False
Kreativität	NNP	-	-	-	-	-	False
sprechen	NN	-	-	-	-	-	False
.	.	-	-	-	-	-	False
