Nobody	NN	-	-	-	-	-	False
has	VBZ	-	-	-	-	-	False
a	DT	-	-	-	-	-	False
clue	NN	-	-	-	-	-	False
,	,	-	-	-	-	-	False
despite	IN	-	-	-	-	-	False
all	PDT	-	-	-	-	-	False
the	DT	-	-	-	-	-	False
expertise	NN	expertise.n	Expertise	136	-	-	False
that	WDT	-	-	-	-	-	False
's	VBZ	-	-	-	-	-	False
been	VBN	-	-	-	-	-	False
on	IN	-	-	-	-	-	False
parade	NN	-	-	-	-	-	False
for	IN	-	-	-	-	-	False
the	DT	-	-	-	-	-	False
past	JJ	-	-	-	-	-	False
four	CD	-	-	-	-	-	False
days	NNS	-	-	-	-	-	False
,	,	-	-	-	-	-	False
what	WP	-	-	-	-	-	False
the	DT	-	-	-	-	-	False
world	NN	-	-	-	-	-	False
will	MD	-	-	-	-	-	False
look	VB	-	-	-	-	-	False
like	IN	-	-	-	-	-	False
in	IN	-	-	-	-	-	False
five	CD	-	-	-	-	-	False
years'	JJ	-	-	-	-	-	False
time	NN	-	-	-	-	-	False
.	.	-	-	-	-	-	False

Keiner	NNP	-	-	-	-	-	False
hat	VBD	-	-	-	-	-	False
eine	NNP	-	-	-	-	-	False
Ahnung	NNP	-	-	-	-	-	False
,	,	-	-	-	-	-	False
trotz	NN	-	-	-	-	-	False
jeglicher	NN	-	-	-	-	-	False
Expertise	NNP	expertise.n	Expertise	136	-	-	False
,	,	-	-	-	-	-	False
die	VB	-	-	-	-	-	False
wir	NN	-	-	-	-	-	False
die	VBP	-	-	-	-	-	False
letzten	FW	-	-	-	-	-	False
vier	FW	-	-	-	-	-	False
Tage	FW	-	-	-	-	-	False
erleben	FW	-	-	-	-	-	False
durften	FW	-	-	-	-	-	False
,	,	-	-	-	-	-	False
wie	UH	-	-	-	-	-	False
die	VBP	-	-	-	-	-	False
Welt	NNP	-	-	-	-	-	False
in	IN	-	-	-	-	-	False
fünf	NN	-	-	-	-	-	False
Jahren	NNP	-	-	-	-	-	False
aussehen	NNP	-	-	-	-	-	False
wird	NN	-	-	-	-	-	False
.	.	-	-	-	-	-	False
