Actually	ADV	RB	-	-	-	False
,	PUNCT	,	-	-	-	False
you	PRON	PRP	-	-	-	False
're	VERB	VBP	-	-	-	False
not	ADV	RB	-	-	-	False
often	ADV	RB	-	-	-	False
at	ADP	IN	-	-	-	False
dinner	NOUN	NN	dinner-party.n	Social_event	Social_event	False
parties	NOUN	NNS	dinner-party.n	Social_event	Social_event	False
,	PUNCT	,	-	-	-	False
frankly	ADV	RB	-	-	-	False
.	PUNCT	.	-	-	-	False

Wenn	PROPN	NNP	-	-	-	False
Sie	PROPN	NNP	-	-	-	False
auf	PROPN	NNP	-	-	-	False
einer	PROPN	NNP	-	-	-	False
Dinner-Party	PROPN	NNP	-	-	-	False
sind	NOUN	NN	-	-	-	False
und	NOUN	FW	-	-	-	False
erzählen	NOUN	FW	-	-	-	False
,	PUNCT	,	-	-	-	False
dass	X	FW	-	-	-	False
sie	X	FW	-	-	-	False
im	X	FW	-	-	-	False
Bildungswesen	PROPN	NNP	-	-	-	False
arbeiten	PROPN	NNP	-	-	-	False
--	PUNCT	:	-	-	-	False
offen	NOUN	VBP	-	-	-	False
gesagt	NOUN	NN	-	-	-	False
,	PUNCT	,	-	-	-	False
ist	X	NN	-	-	-	False
man	X	NN	-	-	Attendee	True
nicht	X	NN	-	-	-	False
oft	X	FW	-	-	-	False
bei	X	FW	-	-	-	False
Dinner-Parties	PROPN	NNP	Dinner-Party.n	Social_event	-	False
,	PUNCT	,	-	-	-	False
wenn	NOUN	NN	-	-	-	False
man	NOUN	UH	-	-	-	False
im	VERB	UH	-	-	-	False
Bildungswesen	PROPN	NNP	-	-	-	False
arbeitet	PROPN	NNP	-	-	-	False
.	PUNCT	.	-	-	-	False
