The	DT	-	-	-	-	-	False
second	JJ	second.a	Ordinal_numbers	1147	-	-	False
is	VBZ	-	-	-	-	-	False
that	IN	-	-	-	-	-	False
it	PRP	-	-	-	-	-	False
's	VBZ	-	-	-	-	-	False
put	VBN	-	-	-	-	-	False
us	PRP	-	-	-	-	-	False
in	IN	-	-	-	-	-	False
a	DT	-	-	-	-	-	False
place	NN	-	-	-	-	-	False
where	WRB	-	-	-	-	-	False
we	PRP	-	-	-	-	-	False
have	VBP	-	-	-	-	-	False
no	DT	-	-	-	-	-	False
idea	NN	-	-	-	-	-	False
what	WP	-	-	-	-	-	False
's	VBZ	-	-	-	-	-	False
going	VBG	-	-	-	-	-	False
to	TO	-	-	-	-	-	False
happen	VB	-	-	-	-	-	False
,	,	-	-	-	-	-	False
in	IN	-	-	-	-	-	False
terms	NNS	-	-	-	-	-	False
of	IN	-	-	-	-	-	False
the	DT	-	-	-	-	-	False
future	NN	-	-	-	-	-	False
.	.	-	-	-	-	-	False

Zweitens	NNP	zweitens.num	Ordinal_numbers	1147	-	-	False
befinden	VBD	-	-	-	-	-	False
wir	NN	-	-	-	-	-	False
uns	NNS	-	-	-	-	-	False
an	DT	-	-	-	-	-	False
einem	JJ	-	-	-	-	-	False
Punkt	NNP	-	-	-	-	-	False
,	,	-	-	-	-	-	False
an	DT	-	-	-	-	-	False
dem	JJ	-	-	-	-	-	False
wir	NN	-	-	-	-	-	False
keine	NN	-	-	-	-	-	False
Ahnung	NNP	-	-	-	-	-	False
haben	NNP	-	-	-	-	-	False
,	,	-	-	-	-	-	False
wie	UH	-	-	-	-	-	False
es	UH	-	-	-	-	-	False
in	IN	-	-	-	-	-	False
Zukunft	NNP	-	-	-	-	-	False
weitergeht	NN	-	-	-	-	-	False
.	.	-	-	-	-	-	False
