So	RB	-	-	-	-	-	False
I	PRP	-	-	-	-	-	False
want	VBP	-	-	-	-	-	False
to	TO	-	-	-	-	-	False
talk	VB	-	-	-	-	-	False
about	IN	-	-	-	-	-	False
education	NN	-	-	-	-	-	False
and	CC	-	-	-	-	-	False
I	PRP	-	-	-	-	-	False
want	VBP	-	-	-	-	-	False
to	TO	-	-	-	-	-	False
talk	VB	-	-	-	-	-	False
about	IN	-	-	-	-	-	False
creativity	NN	creativity.n	Coming_up_with	27	-	-	False
.	.	-	-	-	-	-	False

Ich	NNP	-	-	-	-	-	False
möchte	NNP	-	-	-	-	-	False
also	RB	-	-	-	-	-	False
über	NN	-	-	-	-	-	False
Bildung	NNP	-	-	-	-	-	False
und	NNP	-	-	-	-	-	False
Kreativität	NNP	kreativität.n	Coming_up_with	27	-	-	False
sprechen	NN	-	-	-	-	-	False
.	.	-	-	-	-	-	False
